Obsolète;Code terrain;Toponyme;Type;Date creation;Dernière modification;Date validation;Position;Latitude;Longitude;Altitude;Consignes;Nombre de pistes;Nature première piste;Axe préférentiel première piste;Largeur première piste;Longueur première piste;Orientation première piste;Nature deuxième piste;Axe préférentiel deuxième piste;Largeur deuxième piste;Longueur deuxième piste;Orientation deuxième piste;Radio;Carburant;Facilités;Facilités en clair;Email de contact;Téléphone;Informations complémentaires;Gestionnaire terrain
;LF7325;La Tovière;AltiSurface en service ;08/03/2011;14/07/2020;18/12/2025;45.465556,6.934167;N 45 27 56;E 006 56 03;7350 ft;"att 30/dec 12 - tdp main G 7600ft - neige/herbe 


sol lourd sur 100m après forte pluie


ligne HT à l'EST et coupant la finale + nombreux câbles


Gypaète barbu: Zone « rouge » interdite de survol/ jaune » autorisée seulement pour des raisons de sécurité 


";1;herbe;'30;40;330;'12-30;herbe;;;;'Inconnue;123.065;;0;invalid;;+33 4 79 08 61 33;"Avions : Qualification Montagne requise.


ULM : Libre d'accès. Il est conseillé d’avoir au préalable suivi le cursus de formation au vol montagne proposé par le PNVM.


PILOTES ULM : Pour obtenir des informations par massif montagneux, vous pouvez vous renseigner auprès des instructeurs labellisés PNVM, liste des contacts sur http://pnvm-ffplum.fr/equipe


Abri sur plateforme.


Damage non assuré.";Aéro-club Méribel
;LF7327;Val Thorens Alti;AltiSurface en service ;08/03/2011;24/07/2024;06/01/2026;45.281601,6.571953;N 45 16 54;E 006 34 19;8100 ft;"Altisurface fortement déconseillée par vent d'est, sud ou sud-ouest.


Base main gauche (côté Nord) à 8300 ft ATR en 10, DL en 28. Remise de gaz possible en finale 10 par dégagement à gauche, côté Nord. Pente 8% régulière.";2;terre;'10;15;370;'10-28;neige;'10;20;400;'10-28;123.065;;0;invalid;dchapuis56@gmail.com;+33 6 08 25 44 00;"Altisurface fortement déconseillée par vent d'est, sud ou sud-ouest.


Avions : Qualification Montagne requise.


ULM : Libre d'accès. Il est conseillé d’avoir au préalable suivi le cursus de formation au vol montagne proposé par le PNVM.


PILOTES ULM : Pour obtenir des informations par massif montagneux, vous pouvez vous renseigner auprès des instructeurs labellisés PNVM, liste des contacts sur http://pnvm-ffplum.fr/equipe";Denis CHAPUIS
;LF7328;Valmorel;Altisurface fermée;08/03/2011;02/11/2020;02/03/2026;45.455110,6.413164;N 45 27 18;E 006 24 47;6050 ft;"Utilisable seulement en hiver par neige avec skis. Sol naturel.


Interdit sauf autorisation obligatoire préalable.";1;neige;;40;250;'02-20;;;;;;125.335;;0;invalid;;;"Avions : Qualification Montagne requise.


ULM : Libre d'accès. Il est conseillé d’avoir au préalable suivi le cursus de formation au vol montagne proposé par le PNVM.


PILOTES ULM : Pour obtenir des informations par massif montagneux, vous pouvez vous renseigner auprès des instructeurs labellisés PNVM, liste des contacts sur http://pnvm-ffplum.fr/equipe";
oui;LF7329;Vaugellaz;Altisurface fermée;08/03/2011;27/02/2016;27/06/2025;45.606944,6.709444;N 45 36 25;E 006 42 34;6627 ft;Utilisable seulement en hiver par neige avec des skis. 2 pistes avec plateforme de 50 par 50m au sommet du dôme prolongeant les 2 pistes. Sol naturel non entretenu.  - Vols de Parapentes sur les Reliefs.   - Paragliding flights over Mountains.;2;neige;;30;120;'10-28;neige;;40;240;'09-27;;;0;invalid;;+33 4 79 07 04 35;"Avions : Qualification Montagne requise.


ULM : Libre d'accès. Il est conseillé d’avoir au préalable suivi le cursus de formation au vol montagne proposé par le PNVM.


PILOTES ULM : Pour obtenir des informations par massif montagneux, vous pouvez vous renseigner auprès des instructeurs labellisés PNVM, liste des contacts sur http://pnvm-ffplum.fr/equipe";
oui;LF7330;La Rosière Montvalezan;Altisurface fermée;08/03/2011;16/12/2013;24/04/2014;45.625,6.8588889999999765;N 45 37 30;E 006 51 32;6200 ft;"DÉFINITIVEMENT FERMEE


source AFPM nov2013";1;herbe;;50;320;'16-34;herbe;;;;'Inconnue;;;;;;+33 4 79 08 61 33;"Avions : Qualification Montagne requise.


ULM : Libre d'accès.


Se rapprocher de l'AFPM http://www.afpm.fr pour plus de renseignements.";
;LF7331;Saint Jean d'Arves;AltiSurface en service ;08/03/2011;12/09/2024;18/12/2025;45.188889,6.253056000000015;N 45 11 20;E 006 15 11;5950 ft;"ATT 19 DEC 01 main droite - pente 15%- herbe ou neige.


Restrictions :


- 2 appareils maximum en même temps sur le site


- 2 atterrissages par jour par appareil


Les dimanches du 1° juillet au 31 août, interdiction d'utiliser l'altisurface de 11h30 à 14h30.";1;herbe;'19;50;330;'01-19;herbe;;;;'Inconnue;123.065;;0;invalid;info@afpm.fr;;"Avions : Qualification Montagne requise.


ULM : Libre d'accès. Il est conseillé d’avoir au préalable suivi le cursus vol montagne du PNVM.


PILOTES ULM : Pour obtenir des informations par massif montagneux, vous pouvez vous renseigner auprès des instructeurs labellisés PNVM, liste des contacts sur http://pnvm-ffplum.fr/equipe


Parking pouvant être humide et mou.";AFPM
;LF7332;Valloire Bonnenuit;AltiSurface en service ;08/03/2011;16/09/2023;18/12/2025;45.120690842379474,6.41875199007417;N 45 07 14;E 006 25 08;5600 ft;"ATR18/DL36


TDP main gauche 5900 ft


Base aux tennis (circuit court) ou sud Valloire (circuit normal)


cf. fiche AFPM


Manche à air à droite en finale


Attention au pylône lors du passage bas


Aérologie délicate (vent de vallée & venturi possible en finale)";1;dur;'18;30;290;'18-36;herbe;;;;'Inconnue;123.065;;6,4;Restauration &agrave proximité, Gîte à proximité;aeroclub.de.valloire@gmail.com;+33 6 07 30 06 22;"Gestionnaire: AEROCLUB DE VALLOIRE représenté par son président Didier ALIX +33 6 07 30 06 22


AVIONS: qualification Montagne requise


ULM : qualification montagne fortement conseillée


INFORMATIONS: Aéroclub de VALLOIRE, +33 4 79 59 23 12, +33 6 07 30 06 22





Refuge 0479590200


Gite La Poutre 0479590875


Resto à 200 m en direction du Galibier


";Aéroclub de Valloire
;LF7333;Tignes le Palet;AltiSurface en service ;08/03/2011;19/09/2022;18/12/2025;45.450555555556015,6.883376248677564;N 45 27 02;E 006 53 00;8000 ft;"ATT 27 - TDP Main D  - 2 atterrissages maxi


Ne pas survoler Tignes et Val Claret


Proximité du Parc National. SVP moindre bruit.


Aérologie délicate. Piste à l'ombre l'après midi";1;herbe;'27;35;310;'09-27;herbe;;;;'Inconnue;123.065;;6;Restauration &agrave proximité;aeroclubdetignes@evotel.fr;+33 6 09 44 29 39;"Neige et roues


Avions : Qualification Montagne requise.


ULM : Libre d'accès. Il est conseillé d’avoir au préalable suivi le cursus de formation au vol montagne proposé par le PNVM.


PILOTES ULM : Pour obtenir des informations par massif montagneux, vous pouvez vous renseigner auprès des instructeurs labellisés PNVM, liste des contacts sur http://pnvm-ffplum.fr/equipe";Aéroclub de Tignes
oui;LF7334;La Toussuire;Altisurface fermée;08/03/2011;06/12/2013;10/12/2013;45.271944,6.266667;N 45 16 19;E 006 16 00;5413 ft;Altisurface utilisable uniquement par neige avec skis. Utilisable seulement avec enneigement suffisant du dôme. Survol interdit de la station et des remontées mécaniques.;1;neige;;;215;'Inconnue;;;;;;;;;;;+33 4 79 56 73 72;;
oui;LF7337;L'Arpette St Martin de Bellevi;Altisurface fermée;08/03/2011;06/12/2013;10/12/2013;45.41088504544566,6.517948711639416;N 45 24 39;E 006 31 05;;;1;herbe;;;;'Inconnue;;;;;;;;;;;;;
;LF7340;Chanaz;Base ULM fermée définitivement;19/07/2011;12/04/2021;09/03/2026;45.818892,5.790080;N 45 49 08;E 005 47 24;764 ft;"reconnaissance et approche par le sud à 300ft en évitant les maison


sauf si vent fort : Att 33 - Dec 15 - TdP 300ft à l'EST - 


attention aux rouleau dus au arbres


attention ligne électrique et fossé au seuil 15";1;herbe;'33;20;300;'15-33;;;;;;125.335;;4,6;Gîte à proximité, Restauration &agrave proximité;jacquesollivierreychaneac@gmail.com;+33 6 82 69 54 11;"Piste peut être inondée en automne


autre contact Mr Stephane METTONS 06 81 40 99 04


restaurant l'écluse (face au camping) à 15mn à pied 04.79.54.50.82


hébergement au camping (chalets) 04.79.54.58.51 http://www.campingchanaz.com";
;LF7351;Yenne;Base ULM Autorisation OBLIGATOIRE ;08/03/2011;26/12/2015;14/04/2023;45.71330467386584,5.777077544982944;N 45 42 48;E 005 46 37;750 ft;"Terrain privé


Vols de Parapentes sur les Reliefs.


Paragliding flights over Mountains


  ";1;herbe;'29;25;400;'11-29;herbe;;;;'Inconnue;125.335;;;;zenulm@yahoo.fr;+33 4 79 36 81 80;;Mr Philippe Zen
oui;LF7362;Valmeinier;Base ULM fermée définitivement;08/03/2011;08/03/2011;10/12/2013;45.173611,6.461667;N 45 10 25;E 006 27 42;;;1;herbe;;;;'Inconnue;;;;;;;;;;;;;
;LF7421;Col de Cenise;AltiSurface en service ;08/03/2011;08/09/2015;15/09/2020;46.020833333333336,6.4500000000000455;N 46 01 15;E 006 27 00;5656 ft;3,5 km au Sud de Brizon. Altisurface utilisable en hiver par neige avec des skis, le dôme est le col de Cenise (1724m), stationnement facile. Prudence par neige dure, pente moyenne 12 %, Attention par vent de Sud ou de SW, l'altisurface est sous le vent;1;neige;;20;330;'09-27;herbe;;;;'Inconnue;;;0;invalid;;+33 4 50 22 04 25;"Avions : Qualification Montagne requise.


ULM : Libre d'accès. Il est conseillé d’avoir au préalable suivi le cursus de formation au vol montagne proposé par le PNVM.


PILOTES ULM : Pour obtenir des informations par massif montagneux, vous pouvez vous renseigner auprès des instructeurs labellisés PNVM, liste des contacts sur http://pnvm-ffplum.fr/equipe";
;LF7422;Glacier d'Argentière;AltiSurface en service ;08/03/2011;31/10/2015;15/09/2020;N 45 56 30,E 007 00 00;N 45 56 30;E 007 00 00;9350 ft;;1;neige;;400;3500;'omnidir;herbe;;;;'Inconnue;;;0;invalid;;+33 4 50 22 04 25;"Avions : Qualification Montagne requise.


ULM : Libre d'accès. Il est conseillé d’avoir au préalable suivi le cursus de formation au vol montagne proposé par le PNVM.


PILOTES ULM : Pour obtenir des informations par massif montagneux, vous pouvez vous renseigner auprès des instructeurs labellisés PNVM, liste des contacts sur http://pnvm-ffplum.fr/equipe";
;LF7423;Glacier de Talêfre;AltiSurface en service ;08/03/2011;31/10/2015;15/09/2020;45.90833333333333,6.9833333333333485;N 45 54 30;E 006 59 00;9121 ft;Altisurface sur glacier enneigé utilisable avec skis. Atterrissage en 03, décollage en 21. Au SW, refuge du Couvercle (2687m) N45° 54' 36' E006° 57' 55' ;1;neige;;350;1100;'03-21;herbe;;;;'Inconnue;;;0;invalid;;+33 4 50 22 04 25;"Avions : Qualification Montagne requise.


ULM : Libre d'accès. Il est conseillé d’avoir au préalable suivi le cursus de formation au vol montagne proposé par le PNVM.


PILOTES ULM : Pour obtenir des informations par massif montagneux, vous pouvez vous renseigner auprès des instructeurs labellisés PNVM, liste des contacts sur http://pnvm-ffplum.fr/equipe";
oui;LF7424;Glacier du Dôme du Goûter;Altisurface fermée;08/03/2011;31/10/2015;27/06/2025;45.845556,6.850278;N 45 50 44;E 006 51 01;13940 ft;Altisurface sur neige utilisable avec skis. Attention aux crevasses : reconnaissance des crevasses avant l'atterrissage et avant le décollage. Dôme du Goûter (4304m) à proximité. Refuge Vallot (4362m) N45° 50' 21' E006° 51' 08' ;1;neige;;200;500;'06-24;herbe;;;;'Inconnue;;;0;invalid;;+33 4 50 22 04 25;"Avions : Qualification Montagne requise.


ULM : Libre d'accès. Il est conseillé d’avoir au préalable suivi le cursus de formation au vol montagne proposé par le PNVM.


PILOTES ULM : Pour obtenir des informations par massif montagneux, vous pouvez vous renseigner auprès des instructeurs labellisés PNVM, liste des contacts sur http://pnvm-ffplum.fr/equipe";
;LF7425;Glacier du Tacul;AltiSurface en service ;08/03/2011;31/10/2015;03/11/2025;45.891667,6.937222;N 45 53 30;E 006 56 14;7380 ft;Altisurface sur glacier enneigé utilisable avec skis. Atterrissage en 21, décollage en 03. Présence éventuelle de skieurs.;1;neige;;;800;'03-21;;;;;;123.065;;0;invalid;;+33 4 50 22 04 25;"Avions : Qualification Montagne requise.


ULM : Libre d'accès. Il est conseillé d’avoir au préalable suivi le cursus de formation au vol montagne proposé par le PNVM.


PILOTES ULM : Pour obtenir des informations par massif montagneux, vous pouvez vous renseigner auprès des instructeurs labellisés PNVM, liste des contacts sur http://pnvm-ffplum.fr/equipe";
;LF7426;Glacier du Tour;AltiSurface en service ;08/03/2011;31/10/2015;15/09/2020;45.99999966666667,7;N 45 59 60;E 007 00 00;10170 ft;Altisurface utilisable sur glacier recouvert de neige avec skis. Atterrissage en 08 face au col du Tour (3289m), décollage en 26,  position GPS moyenne N45° 59' 08' E007° 00' 17'. Refuge Albert-1° à 1km au NNW à 2706m, position N45° 59' 13' E006° 59' 47'.;1;neige;;;500;'08-26;herbe;;;;'Inconnue;;;0;invalid;;+33 4 50 22 04 25;"Avions : Qualification Montagne requise.


ULM : Libre d'accès. Il est conseillé d’avoir au préalable suivi le cursus de formation au vol montagne proposé par le PNVM.


PILOTES ULM : Pour obtenir des informations par massif montagneux, vous pouvez vous renseigner auprès des instructeurs labellisés PNVM, liste des contacts sur http://pnvm-ffplum.fr/equipe";
oui;LF7427;Morzine Avoriaz;Altisurface fermée;08/03/2011;16/02/2022;27/06/2025;46.19669473006934,6.7597534179687955;N 46 11 48;E 006 45 35;5709 ft;Hiver.  - Vols de Parapentes sur les Reliefs.;1;neige;;25;245;'09-27;herbe;;;;'Inconnue;;;0;invalid;;;"Avions : Qualification Montagne requise.


ULM : Libre d'accès. Il est conseillé d’avoir au préalable suivi le cursus de formation au vol montagne proposé par le PNVM.


PILOTES ULM : Pour obtenir des informations par massif montagneux, vous pouvez vous renseigner auprès des instructeurs labellisés PNVM, liste des contacts sur http://pnvm-ffplum.fr/equipe";
;LF7430;Saint Roch Mayères;AltiSurface en service ;08/03/2011;05/01/2018;15/09/2020;45.95,6.58611099999996;N 45 57 00;E 006 35 10;5118 ft;"Main droite - 1 seul ATT le WE - 2 ATT en sem


au Déc. maintenir l'axe 1 km puis à gauche 





TDP main droite





Utilisable en toutes saisons, mais de préférence en été, car l'utilisation est délicate par neige. léger dévers dans la partie Est. ";1;herbe;;15;330;'14-32;herbe;;;;'Inconnue;;;3,6,4;Restauration sur place, Restauration &agrave proximité, Gîte à proximité;;+33 6 81 07 16 36;"Avions : Qualification Montagne requise.


ULM : Libre d'accès. Il est conseillé d’avoir au préalable suivi le cursus de formation au vol montagne proposé par le PNVM.


PILOTES ULM : Pour obtenir des informations par massif montagneux, vous pouvez vous renseigner auprès des instructeurs labellisés PNVM, liste des contacts sur http://pnvm-ffplum.fr/equipe";
;LF7431;Thollon les Mémises;Base ULM Accès limité Autorisation OBLIGATOIRE ;08/03/2011;21/08/2020;14/04/2023;46.396763190386,6.71665627116397;N 46 23 48;E 006 42 60;2996 ft;Arrivée  obligatoire 26 , terrain pente 2% sens atterrissage. Attention thermiques et vent.;1;herbe;;;400;'08-26;herbe;;;;'Inconnue;125.335;;0;invalid;campingvieilleeglise@wanadoo.fr;+41 79 44 95 60 8;Acquisition de site ou Formations montagne obligatoire Tel 0041794495608 ou 0680321990 ;Vincent Gianinetti et Bernard Lei
;LF7469;Habère Poche;Aérodrome Privé Avec Restrictions Autorisation OBLIGATOIRE ;08/03/2011;26/12/2015;23/02/2016;46.27207547414809,6.4639518578110255;N 46 16 19;E 006 27 50;3652 ft;Habère-Poche est réservé aux planeurs et tous les décollages se font au treuil.;1;herbe;;50;950;'01-19;herbe;;50;950;'Inconnue;122.5;;6,4;Restauration &agrave proximité, Gîte à proximité;planeurs74@orange.fr;+33 4 50 39 56 56;"Aérodrome privé, exclusivement réservé au vol à voile. Utilisation du treuil.





ulm : à utiliser en secours";
;LF7470;Cervens;Base ULM Autorisation OBLIGATOIRE ;04/07/2011;11/06/2024;13/06/2024;46.29273263144105,6.444918291015598;N 46 17 34;E 006 26 42;2034 ft;"Circuit de piste imposé. Le survol des villages avoisinants est formellement interdit. 


ATTENTION RESTRICTION DE VOL LES SAMEDIS ET DIMANCHES. PRENDRE IMPÉRATIVEMENT CONTACT LORS D'UNE PREMIÈRE VISITE.";1;herbe;'06;30;325;'06-24;herbe;;;;'Inconnue;125.335;;1;Atelier ULM;alpulm@orange.fr;;"Autorisation avant première visite


Terrain très sensible


Interdit le Dimanche et jours fériés ainsi que les samedis de 12h à 14h30.


Ne pas survoler les zones interdites (zones en rouge)";ALP'ULM
;LF7621;Lammerville;Aérodrome Privé Ouvert aux ULM;08/03/2011;01/09/2017;02/03/2026;49.805674,0.973409;N 49 48 20;E 000 58 24;328 ft;"Nombreuses éoliennes autour du périmètre de protection de 5km. Risque de turbulences de sillage par vent d'ouest.


Les éoliennes ne sont pas visibles ur les 3 photos jointes.";1;herbe;;30;500;'18-36;;;;;;123.500;;0;invalid;alain.adam763@orange.fr;3,30624E+11;"Terrain cultivé, utilisable (et balisé) seulement en fin d'été après les récoltes, lorsqu'une manche à air est en place. 





Réservé à l'usage des personnes autorisées par arrêté préfectoral. 





Pas de hangar. Ancien aérodrome militaire entre 1939 et 1945.";Alain ADAM
oui;LF7651;Auzouville L'Esneval;Base ULM Accès privé;22/05/2011;23/04/2017;24/04/2017;49.634095442454,0.8795685026381079;N 49 38 03;E 000 52 46;499 ft;"Tour de piste au Sud Ouest des installations 


NE PAS SURVOLER LE VILLAGE SVP. 


rabattants par vent de Nord/Est (piste 29)";1;herbe;;50;215;'11-29;herbe;;;;'Inconnue;Auto-info 123.5;OUI SP 98;6,2,4,5;Restauration &agrave proximité, Hangar possible, Gîte à proximité, Camping possible;francis.aero@orange.fr;+33 6 62 63 31 80;"PISTE UNIQUEMENT RESERVEE AUX ULM BASES. 


BASE ULM INTERDITE AUX PARAMOTEURS -


 DZ disponible pour Hélico-Ulm classe 6 (tel avant venue sur la base)";ULM AIR DRAKKAR
;LF7653;Pavilly;Base ULM Accès privé;17/03/2016;10/04/2020;14/04/2023;49.60100566830578,0.9875269278136134;N 49 36 04;E 000 59 15;499 ft;"tour de piste à l'ouest survol des habitation interdit


en venant du nord dernier virage entre la piste et le hameau ";1;herbe;;20;250;'17-35;herbe;;;;'Inconnue;125.335;sur demande;4,5;Gîte à proximité, Camping possible;jeromevaret76@orange.fr;+33 6 08 21 92 68;"Mobil-home sur place, café et barbecue à dispo 


Merci de contacter Jérôme Varet 0608219268


ATTENTION: presence d'une cloture electrique autour de la piste !!!! HAUTEUR 50cm";les ailes du blérot
;LF7654;Bolleville;Aérodrome Privé Avec Restrictions Autorisation OBLIGATOIRE ;04/10/2016;23/04/2017;24/04/2017;49.600555555556,0.5525000000000091;N 49 36 02;E 000 33 09;443 ft;TOUR DE PISTE OBLIGATOIRE AU NORD DU TERRAIN;1;herbe;'25;30;330;'07-25;herbe;;;;'Inconnue;;;;;maurice.etcheto@gmail.com;+33 6 10 68 89 75;Ligne de chemin de fer à proximité;
;LF7655;Le Mont Dolé;Base ULM ouverte tous types;07/10/2016;15/03/2025;17/03/2025;49.89370332319958,1.5792967401977194;N 49 53 37;E 001 34 45;450 ft;Pour un premier atterrissage 09 main gauche conseillée avec longue finale;1;herbe;'09;20;350;'09-27;herbe;;;;'Inconnue;;non;0;invalid;jeromeducrocq76@gmail.com;+33 6 73 50 38 14;"piste en herbe balisée.


terrain conseillé aux pilotes avec un minimum d expérience.


pour un premier atterrissage, la 09 conseillé main gauche avec longue finale, touché au seuil de piste impératif.


ligne électrique en finale non gênante mais à localiser (voir plan).";Ducrocq
oui;LF7723;Douy la Ramée la ferme d'Edoua;Base ULM fermée définitivement;08/03/2011;25/05/2014;26/05/2014;49.066667,2.9;N 49 04 00;E 002 53 60;;;1;herbe;;;;'Inconnue;herbe;;;;'Inconnue;;;;;;;;
oui;LF7751;Beaumont-en-Gatinais;Base ULM fermée définitivement;08/03/2011;23/02/2015;17/07/2015;48.140556,2.491944;N 48 08 26;E 002 29 31;289 ft;Plate forme privée. PPR : Permission Préalable Requise à obtenir du propriétaire,ATTENTION ! OBSTACLE (hangar et arbres) au seuil de piste 11, donc faire une approche haute. Par vent faible ou nul, préférez la piste 29 dont le seuil est au bord d'un chemin de terre.;1;herbe;'29;25;400;'11-29;herbe;;;;'Inconnue;Auto info 123.5;;;;;+33 1 64 29 91 21;ATTENTION BASE EXISTE PLUS ;Mr Thiriau
;LF7752;Mondreville;Base ULM Autorisation OBLIGATOIRE ;06/12/2011;11/06/2016;14/04/2023;48.168546972543,2.5978803634643555;N 48 10 07;E 002 35 52;351 ft;"Tour de piste à l'OUEST (côté hangars) 800 ft QFE, sans dépasser la limite du bois. 





Survol secteur EST interdit : de la piste à la ferme de la Cailleterie.";1;herbe;'19;40;500;'01-19;herbe;;;;'Inconnue;125.335;Sur demande;2,4,5;Hangar possible, Gîte à proximité, Camping possible;ulmrosedesvents@gmail.com;+33 6 08 42 56 47;"PPR : Accès possible uniquement après appel téléphonique.





Plateforme très sensible au bruit.


Vous serez les bienvenus au club. Merci de prevenir de votre passage.





Dépannage essence (20 l) possible.





Hangar hébergement disponible.";SCI LA ROSE DES VENTS
;LF7753;Bray sur Seine;Base ULM Accès privé;08/03/2011;17/03/2021;14/04/2023;48.431900864422,3.273141386243992;N 48 25 55;E 003 16 23;180 ft;"Tour de piste Main Gauche à 500 pieds


Attention au fossé à l'extrémité ouest (06) de la piste et aux quelques arbres pas très loin à l'est.(24)


Interdiction de survoler les villages de NEUVRY à l'Est et Jaulnes au Sud


";1;herbe;;30;200;'06-24;herbe;;;;'Inconnue;125.335;;6,4;Restauration &agrave proximité, Gîte à proximité;;+33 6 07 26 11 39;Demander l'autorisation auprès du Club pour utiliser la plateforme.;Président
;LF7754;Orgenoy;EPISODIQUE;08/03/2011;23/08/2017;14/04/2023;48.494029632054094,2.5764650515899348;N 48 29 39;E 002 34 35;262 ft;"Éviter le survol du centre commercial et des villages (Orgenoy et Perthes)


Tour de piste au sud";1;herbe;;20;700;'05-23;herbe;;;;'Inconnue;125.335;A 1km;6;Restauration &agrave proximité;fcois.jerome@9business.fr;+33 6 82 58 36 16;"Préférable de téléphoner avant de venir


";
oui;LF7755;Villeneuve la Guillard;Hydrosurface fermée.;02/01/2012;30/12/2013;24/04/2014;48.355609923194606,3.0470062255859443;N 48 21 20;E 003 02 49;;;1;eau;;;;'omnidir;herbe;;;;'Inconnue;Auto-info 123.5;;3,4,5;Restauration sur place, Gîte à proximité, Camping possible;;;Dossier clos, pas d'ouverture espérée à court terme;So Fun Village
oui;LF7756;Bazoches les Bray;Base ULM fermée définitivement;14/05/2012;20/08/2015;10/05/2021;48.383888888889,3.1988888888888596;N 48 23 02;E 003 11 56;196 ft;TDP Sud à 500 ft. Eviter le survol de Bazoches les Bray et des 2 fermes à l'ouest et au Sud;1;herbe;;20;400;'06-24;herbe;;;;'Inconnue;123.500;;0;invalid;;+33 6 07 26 11 39;;Les Ailes de la Bassée
oui;LF7757;Aeronel;Base ULM fermée définitivement;27/12/2012;24/12/2015;29/04/2019;48.678611111111,2.8769444444444616;N 48 40 43;E 002 52 37;340 ft;Autorisation écrite du gestionnaire pour un premier atterrissage après avoir pris connaissance des conditions d'utilisation de plate-forme ULM et notamment des consignes d'approches à cause du voisinage et la proximité de l'aérodrome de FONTENAY-TRESIGNY.;2;herbe;'03;48;180;'03-21;herbe;'09;30;150;'09-27;Auto info 123.5;;6,2,4,5;Restauration &agrave proximité, Hangar possible, Gîte à proximité, Camping possible;nelphi.ulm@free.fr;+33 9 52 72 28 33;Autorisation écrite du gestionnaire pour un premier atterrissage après avoir pris connaissance des conditions d'utilisation de plate-forme ULM et notamment des consignes d'approches à cause du voisinage et la proximité de l'aérodrome de FONTENAY-TRESIGNY.;NELPHI
;LF7758;Lfvz;Base Paramoteurs accès limité Autorisation OBLIGATOIRE ;05/03/2019;12/12/2019;15/12/2019;48.70866205647591,2.6461715459823836;N 48 42 31;E 002 38 46;328 ft;;1;herbe;;110;120;'omnidir;herbe;;;;'Inconnue;;;6,1;Restauration &agrave proximité, Atelier ULM;info@rultralight.com;+33 1 64 05 94 30;"Piste réservés aux pilotes basés.


Accès en vol possible après autorisations et consignes.";R.ultralight
oui;LF7851;Allainville;Base ULM fermée définitivement;09/03/2011;09/03/2011;11/09/2012;48.468056,1.898056;N 48 28 05;E 001 53 53;508 ft;Piste occasionnelle. Seuil décalé en piste 30, à cause de la route C2.;1;herbe;;;300;'12-30;;;;;;;;;;;;;
;LF7852;La Fontaine au Berger;Base ULM Accès privé Utilisation EPISODIQUE ;20/11/2011;12/09/2016;14/04/2023;48.582171964732,1.7290163040161133;N 48 34 56;E 001 43 44;476 ft;"TDP 800 ft - Vert. 1500 ft





Piste Privée au fond d'un vallon.


Par temps chaud à pleine charge, attention au redécollage, bois environnants.





En TDP attention à ne pas interférer avec le TDP d'Ecrosnes LF2830 situé à 2.5 km dans le sud.";1;herbe;'13;20;350;'13-31;herbe;;;;'Inconnue;125.335;;;;tet.menager@wanadoo.fr;+33 1 34 85 94 45;"La piste 13 est en légère montée et son seuil décalé de 50 m, cause haies. 





Eviter le survol du village d'Emancé et de la réserve animalière du parc de Sauvage au Nord.";Marc Menager
;LF7853;Thoiry;Base ULM Privé Avec Restrictions Autorisation OBLIGATOIRE ;11/01/2014;14/04/2023;16/04/2023;48.87556929903145,1.7940069198608626;N 48 52 32;E 001 47 38;380 ft;"Verticale terrain à plus de 1500 ft AMSL (dans la mesure du possible).


Tour de piste au NO à 900 ft AMSL : tracé exact sur la carte.


Décollage 25 virer le plus vite possible à droite.


En finale 07 ne pas survoler Villarceaux ; se poser après les plot.";1;herbe;'25;28;400;'07-25;herbe;;;;'Inconnue;125.335;;0;invalid;fermedelacour@gmail.com;+33 6 61 88 01 51;"? Ligne HT en travers 1km à l'est, ligne MT en biais 300m à l'ouest.


? Parapentes en vol treuillé au câble : activité 889, plafond 2200 ft AMSL.


Piste permanente usage strictement privé.


La radio obligatoire pour les aéronefs en visite. Les intentions du pilote doivent être annoncées avant le décollage.


? Nombreux trafics qui survolent régulièrement le château de THOIRY, au sud des installations.


Report vertical : suivre le tour de piste.";Raoul de la Panouse
;LF7854;La Ferme des Prés;Base ULM. Usage strictement privé (pas de visiteurs).;05/01/2015;20/12/2015;14/04/2023;48.827791107257,1.7906166076660384;N 48 49 40;E 001 47 26;296 ft;Tour de piste au Nord de la piste. Survol des villages et habitations strictement interdit.;1;herbe;'30;30;380;'12-30;herbe;;;;'Inconnue;125.335;;;;j.corby@wanadoo.fr;+33 6 82 14 48 09;"Plate-forme ULM PRIVEE strictement réservée aux ULM 3 axes basés.


Interdit aux pendulaires et aux paramoteurs suite à des problèmes générés avec les riverains.





Accès interdit à tout aéronef n'étant pas basé sur le site.";CORBY Jérôme
oui;LF7921;Gourgé Les Grippeaux;Base ULM fermée définitivement;08/03/2011;29/05/2021;29/04/2025;46.69553555305095,-0.1610144404754692;N 46 41 44;W 000 09 40;456 ft;;1;herbe;;25;240;'12-30;herbe;;;;'Inconnue;125.335;;5;Camping possible;camillescharnitzky@gmail.com;+33 6 89 01 55 76;;Association  Modéliste et Aéronautique de Gâtine
